model	sample_id	image_id	t_star	t_bad
blip2	21	1	1	14
blip2	21	1	1	15
blip2	21	2	5	6
blip2	21	2	5	7
blip2	21	2	5	8
blip2	21	2	5	9
blip2	21	2	5	10
blip2	21	2	5	11
blip2	21	2	5	13
blip2	21	2	5	14
blip2	21	2	5	15
blip2	22	1	1	2
blip2	22	1	1	3
blip2	22	1	1	7
blip2	22	1	1	8
blip2	22	1	1	9
blip2	22	1	1	12
blip2	22	1	1	14
blip2	22	2	6	7
blip2	22	2	6	8
blip2	22	2	6	9
blip2	22	2	6	12
blip2	22	2	6	14
blip2	23	1	1	3
blip2	23	1	1	10
blip2	23	1	1	11
blip2	23	1	1	12
blip2	23	1	1	13
blip2	23	1	1	14
blip2	23	1	1	16
blip2	23	1	1	17
blip2	23	1	1	18
blip2	23	1	1	19
blip2	23	2	4	6
blip2	23	2	4	10
blip2	23	2	4	11
blip2	23	2	4	12
blip2	23	2	4	13
blip2	23	2	4	14
blip2	23	2	4	16
blip2	23	2	4	17
blip2	23	2	4	18
blip2	23	2	4	19
blip2	23	3	9	10
blip2	23	3	9	11
blip2	23	3	9	12
blip2	23	3	9	13
blip2	23	3	9	14
blip2	23	3	9	16
blip2	23	3	9	17
blip2	23	3	9	18
blip2	23	3	9	19
blip2	24	1	1	2
blip2	24	1	1	3
blip2	24	1	1	4
blip2	24	1	1	5
blip2	24	1	1	6
blip2	24	1	1	7
blip2	24	1	1	9
blip2	24	2	1	2
blip2	24	2	1	3
blip2	24	2	1	4
blip2	24	2	1	5
blip2	24	2	1	6
blip2	24	2	1	7
blip2	24	2	1	9
blip2	25	1	1	8
blip2	25	2	2	3
blip2	25	2	2	4
blip2	25	2	2	8
blip2	25	3	5	6
blip2	25	3	5	7
blip2	25	3	5	8
blip2	26	1	1	3
blip2	26	1	1	7
blip2	26	1	1	8
blip2	26	1	1	9
blip2	26	1	1	10
blip2	26	1	1	11
blip2	26	1	1	12
blip2	26	1	1	13
blip2	26	2	6	7
blip2	26	2	6	8
blip2	26	2	6	9
blip2	26	2	6	10
blip2	26	2	6	11
blip2	26	2	6	12
blip2	26	2	6	13
blip2	26	3	7	8
blip2	26	3	7	9
blip2	26	3	7	10
blip2	26	3	7	11
blip2	26	3	7	12
blip2	26	3	7	13
blip2	27	1	1	2
blip2	27	1	1	3
blip2	27	1	1	7
blip2	27	1	1	8
blip2	27	1	1	9
blip2	27	1	1	10
blip2	27	1	1	11
blip2	27	1	1	12
