model	sample_id	image_id	turn	delta	ok
blip2	55	1	14	13	1
blip2	55	1	15	14	0
blip2	55	1	16	15	0
blip2	55	1	17	16	1
blip2	55	1	18	17	0
blip2	56	1	1	0	1
blip2	56	1	2	1	0
blip2	56	1	3	2	1
blip2	56	1	4	3	0
blip2	56	1	5	4	1
blip2	56	1	6	5	1
blip2	56	1	7	6	1
blip2	56	1	8	7	0
blip2	56	1	9	8	1
blip2	56	1	10	9	0
blip2	56	1	11	10	1
blip2	56	1	12	11	0
blip2	56	1	13	12	0
blip2	56	1	14	13	0
blip2	56	1	15	14	1
blip2	56	1	16	15	0
blip2	56	1	17	16	1
blip2	56	1	18	17	0
blip2	56	1	19	18	0
blip2	56	1	20	19	0
blip2	57	1	1	0	1
blip2	57	1	2	1	1
blip2	57	1	3	2	0
blip2	57	1	4	3	1
blip2	57	1	5	4	1
blip2	57	1	6	5	1
blip2	57	1	7	6	1
blip2	57	1	8	7	1
blip2	57	1	9	8	1
blip2	57	1	10	9	1
blip2	57	1	11	10	0
blip2	57	1	12	11	1
blip2	58	1	1	0	0
blip2	58	1	2	1	0
blip2	58	1	3	2	0
blip2	58	1	4	3	0
blip2	58	1	5	4	1
blip2	58	1	6	5	0
blip2	58	1	7	6	0
blip2	58	1	8	7	0
blip2	58	1	9	8	0
blip2	58	1	10	9	1
blip2	58	1	11	10	0
blip2	58	1	12	11	0
blip2	58	1	13	12	0
blip2	58	1	14	13	0
blip2	58	1	15	14	0
blip2	58	1	16	15	0
blip2	58	1	17	16	0
blip2	58	1	18	17	0
blip2	58	1	19	18	0
blip2	58	1	20	19	0
blip2	59	1	1	0	0
blip2	59	1	2	1	1
blip2	59	1	3	2	1
blip2	59	1	4	3	0
blip2	59	1	5	4	1
blip2	59	1	6	5	1
blip2	59	1	7	6	0
blip2	59	1	8	7	0
blip2	59	1	9	8	1
blip2	59	1	10	9	1
blip2	59	1	11	10	0
blip2	59	1	12	11	0
blip2	59	1	13	12	0
blip2	59	1	14	13	0
blip2	59	1	15	14	1
blip2	59	1	16	15	0
blip2	60	1	1	0	0
blip2	60	1	2	1	1
blip2	60	1	3	2	0
blip2	60	1	4	3	0
blip2	60	1	5	4	0
blip2	60	1	6	5	0
blip2	60	1	7	6	0
blip2	60	1	8	7	0
blip2	60	1	9	8	1
blip2	60	1	10	9	1
blip2	60	1	11	10	1
blip2	60	1	12	11	1
blip2	60	1	13	12	0
blip2	60	1	14	13	1
blip2	60	1	15	14	0
blip2	60	1	16	15	1
blip2	61	1	1	0	0
blip2	61	1	2	1	0
blip2	61	1	3	2	1
blip2	61	1	4	3	1
blip2	61	1	5	4	0
blip2	61	1	6	5	0
blip2	61	1	7	6	0
blip2	61	1	8	7	0
blip2	61	1	9	8	1
blip2	61	1	10	9	0
blip2	61	1	11	10	0
blip2	61	1	12	11	1
blip2	61	1	13	12	0
blip2	61	1	14	13	1
blip2	61	1	15	14	0
blip2	61	1	16	15	0
blip2	62	1	1	0	0
blip2	62	1	2	1	0
blip2	62	1	3	2	0
blip2	62	1	4	3	0
blip2	62	1	5	4	0
blip2	62	1	6	5	0
blip2	62	1	7	6	0
blip2	62	1	8	7	0
blip2	63	1	1	0	0
blip2	63	1	2	1	1
blip2	63	1	3	2	1
blip2	63	1	4	3	1
blip2	63	1	5	4	1
